source,target,weight
JOSEPH E LOWERY BLVD SW @ WESTVIEW DR SW,JOSEPH E LOWERY BLVD @ SELLS AVE SW,0.105
JOSEPH E LOWERY BLVD @ SELLS AVE SW,JOSEPH E LOWERY BLVD @ LUCILE AVE SW,0.199
JOSEPH E LOWERY BLVD @ SELLS AVE SW,JOSEPH E LOWERY BLVD @ WESTVIEW DR SW,0.07
JOSEPH E LOWERY BLVD @ SELLS AVE SW,WEST END AVE SW @ ASHBY ST SW,0.065
JOSEPH E LOWERY BLVD @ LUCILE AVE SW,JOSEPH E LOWERY BLVD @ 577,0.213
JOSEPH E LOWERY BLVD @ 577,RALPH D ABERNATHY BLVD SW @ EVANS ST,0.139
JOSEPH E LOWERY BLVD @ 577,JOSEPH E LOWERY BLVD @ OAK ST SW,0.056
RALPH D ABERNATHY BLVD SW @ EVANS ST,RALPH D ABERNATHY BLVD @ W WHITEHALL ST,0.152
RALPH D ABERNATHY BLVD @ W WHITEHALL ST,WEST END STATION,0.16
RALPH D ABERNATHY BLVD @ W WHITEHALL ST,RALPH D ABERNATHY BLVD @ MURPHY AVE,0.082
WEST END STATION,RALPH D ABERNATHY BLVD SW @ DUNN ST SW,0.212
WEST END STATION,RALPH D ABERNATHY BLVD @ W WHITEHALL ST,0.16
WEST END STATION,LEE ST SW @ POOLE PL SW,0.211
WEST END STATION,OGLETHROPE AVE SW @ EVANS ST SW,0.082
WEST END STATION,GARNETT STATION,1.352
WEST END STATION,OAKLAND CITY STATION,1.473
WEST END STATION,EAST POINT STATION,4.382
WEST END STATION,BROOKHAVEN-OGLETHORPE STATION,9.573
WEST END STATION,ARTS CENTER STATION,3.988
WEST END STATION,MIDTOWN STATION,3.484
WEST END STATION,DUNWOODY STATION,13.383
WEST END STATION,LINDBERGH CENTER STATION,6.56
WEST END STATION,AIRPORT STATION,6.867
WEST END STATION,COLLEGE PARK STATION,6.25
WEST END STATION,FIVE POINTS STATION,1.773
WEST END STATION,PEACHTREE CENTER STATION,2.14
WEST END STATION,CHAMBLEE STATION,12.149
WEST END STATION,SANDY SPRINGS STATION,14.005
WEST END STATION,NORTH SPRINGS STATION,14.801
WEST END STATION,BUCKHEAD STATION,8.177
WEST END STATION,NORTH AVENUE STATION,2.902
WEST END STATION,DORAVILLE STATION,13.811
WEST END STATION,MEDICAL CENTER STATION,12.588
WEST END STATION,CIVIC CENTER STATION,2.566
WEST END STATION,LENOX STATION,8.201
WEST END STATION,LAKEWOOD-FT MCPHERSON STATION,2.613
RALPH D ABERNATHY BLVD SW @ DUNN ST SW,JOSEPH E LOWERY BLVD SW @ RALPH D ABERNATHY BLVD SW,0.104
RALPH D ABERNATHY BLVD SW @ DUNN ST SW,RALPH D ABERNATHY BLVD SW @ JOSEPH E LOWERY BLVD SW,0.151
JOSEPH E LOWERY BLVD SW @ RALPH D ABERNATHY BLVD SW,JOSEPH E LOWERY BLVD @ 577,0.069
JOSEPH E LOWERY BLVD @ OAK ST SW,JOSEPH E LOWERY BLVD @ CUNNINGHAM PL,0.225
JOSEPH E LOWERY BLVD @ OAK ST SW,LUCILE AVE SW @ JOSEPH E LOWERY BLVD,0.148
JOSEPH E LOWERY BLVD @ CUNNINGHAM PL,JOSEPH E LOWERY BLVD @ SELLS AVE SW,0.131
JOSEPH E LOWERY BLVD @ WESTVIEW DR SW,JOSEPH E LOWERY BLVD @ ATLANTA STUDENT MOVEMENT BLVD,0.185
JOSEPH E LOWERY BLVD @ ATLANTA STUDENT MOVEMENT BLVD,JOSEPH E LOWERY BLVD @ PARSONS ST SW,0.111
JOSEPH E LOWERY BLVD @ MITCHELL ST SW,JOSEPH E LOWERY BLVD @ MARTIN L KING JR DR,0.087
JOSEPH E LOWERY BLVD @ MARTIN L KING JR DR,ASHBY STATION - NORTHBOUND,0.103
ASHBY STATION - NORTHBOUND,JOSEPH E LOWERY BLVD NW @ MAGNOLIA ST NW,0.163
ASHBY STATION - NORTHBOUND,LENA ST @ MAYSON TURNER RD,0.051
JOSEPH E LOWERY BLVD NW @ MAGNOLIA ST NW,JOSEPH E LOWERY BLVD NW @ THURMOND ST NW,0.127
JOSEPH E LOWERY BLVD NW @ WHEELER ST NW,JOSEPH E LOWERY BLVD @ 841,0.381
JOSEPH E LOWERY BLVD NW @ W MARIETTA ST NW,W MARIETTA ST NW @ HERNDON ST,0.33
W MARIETTA ST NW @ HERNDON ST,W MARIETTA ST NW @ LONGLEY AVE NW,0.115
MARIETTA BLVD @ HUFF RD,MARIETTA BLVD NW @ ELAINE AVE NW,0.182
MARIETTA BLVD NW @ ELAINE AVE NW,MARIETTA BLVD @ TACOMA DR,0.263
MARIETTA BLVD @ 1595,MARIETTA BLVD @ 1695,0.198
MARIETTA BLVD @ 1695,MARIETTA BLVD @ CARROLL DR,0.114
MARIETTA BLVD @ 2095,MARIETTA BLVD @ BOLTON PL,0.148
MARIETTA BLVD @ BOLTON PL,MARIETTA BLVD @ BOLTON DR,0.311
MARIETTA BLVD @ BOLTON DR,MARIETTA BLVD @ CORONET WAY,0.142
MARIETTA BLVD @ CORONET WAY,MARIETTA BLVD NW @ MOORES MILL RD NW,0.223
NORTH AVE STATION,PONCE DE LEON AVE NE @ JUNIPER ST NE,0.19
NORTH AVE STATION,NORTH AVE NW @ SPRING ST NW,0.112
PONCE DE LEON AVE NE @ JUNIPER ST NE,PONCE DE LEON AVE NE @ PIEDMONT AVE,0.095
PONCE DE LEON AVE NE @ JUNIPER ST NE,NORTH AVE STATION,0.19
PONCE DE LEON AVE NE @ JUNIPER ST NE,NORTH AVE @ PIEDMONT AVE,0.096
PONCE DE LEON AVE NE @ PIEDMONT AVE,PONCE DE LEON AVE NE @ MYRTLE ST NE,0.107
PONCE DE LEON AVE NE @ MYRTLE ST NE,PONCE DE LEON  AVE NE @ ARGONNE AVE NE,0.164
PONCE DE LEON  AVE NE @ ARGONNE AVE NE,PONCE DE LEON AVE NE @ DURANT PL NE,0.051
PONCE DE LEON AVE NE @ DURANT PL NE,PONCE DE LEON AVE NE @ PARKWAY DR NE,0.173
PONCE DE LEON AVE NE @ DURANT PL NE,PONCE DE LEON AVE NE @ ARGONNE AVE NE,0.077
PONCE DE LEON AVE NE @ PARKWAY DR NE,PONCE DE LEON AVE NE @ BOULEVARD  NE,0.138
PONCE DE LEON AVE NE @ BOULEVARD  NE,PONCE DE LEON AVE NE @ KENNESAW AVE NE,0.079
PONCE DE LEON AVE NE @ KENNESAW AVE NE,PONCE DE LEON AVE NE @ GLEN IRIS DR NE,0.11
PONCE DE LEON AVE NE @ GLEN IRIS DR NE,PONCE DE LEON AVE NE @ 675,0.148
PONCE DE LEON AVE NE @ 675,PONCE DE LEON AVE NE @ PONCE DE LEON PL,0.097
PONCE DE LEON AVE NE @ PONCE DE LEON PL,PONCE DE LEON AVE NE @ BONAVENTURE AVE,0.171
PONCE DE LEON AVE NE @ PONCE DE LEON PL,PONCE DE LEON AVE NE @ 680,0.097
PONCE DE LEON AVE NE @ BONAVENTURE AVE,PONCE DE LEON AVE NE @ FREEDOM PKWY NE,0.074
PONCE DE LEON AVE NE @ BONAVENTURE AVE,PONCE DE LEON AVE NE @ PONCE DE LEON PL,0.171
PONCE DE LEON AVE NE @ FREEDOM PKWY NE,PONCE DE LEON AVE NE @ FREDERICA ST NE,0.224
PONCE DE LEON AVE NE @ FREDERICA ST NE,PONCE DE LEON AVE NE @ N HIGHLAND AVE NE,0.203
PONCE DE LEON AVE NE @ FREDERICA ST NE,PONCE DE LEON AVE NE @ BARNETT ST NE,0.172
