,stop_1,stop_2,stop1_lat,stop1_lon,stop2_lat,stop2_lon,hav_distance
340465,PANTHERSVILLE RD @ GLEN HOLLOW DR,PANTHERSVILLE RD @ 2929,33.697262,-84.271384,33.700752,-84.270363,0.248
340466,PANTHERSVILLE RD @ 2929,FLAT SHOALS RD @ FAIRLAKE DR,33.700233,-84.270437,33.702426,-84.269425,0.162
340467,PANTHERSVILLE RD @ 2929,FLAT SHOALS RD @ FAIRLAKE DR,33.700752,-84.270363,33.702426,-84.269425,0.128
340468,FLAT SHOALS RD @ FAIRLAKE DR,CANDLER RD @ WARREN RD,33.702426,-84.269425,33.704745,-84.271183,0.189
340469,CANDLER RD @ WARREN RD,CANDLER RD @ S RAINBOW DR,33.704745,-84.271183,33.70667,-84.271997,0.141
340470,CANDLER RD @ WARREN RD,CANDLER RD @ S RAINBOW DR,33.704745,-84.271183,33.706799,-84.271774,0.146
340471,CANDLER RD @ S RAINBOW DR,SOUTH DEKALB MALL (PICADILLY),33.70667,-84.271997,33.708133,-84.273011,0.117
340472,CANDLER RD @ S RAINBOW DR,SOUTH DEKALB MALL (PICADILLY),33.70667,-84.271997,33.708219,-84.273137,0.125
340473,CANDLER RD @ S RAINBOW DR,SOUTH DEKALB MALL (PICADILLY),33.706799,-84.271774,33.708133,-84.273011,0.116
340474,CANDLER RD @ S RAINBOW DR,SOUTH DEKALB MALL (PICADILLY),33.706799,-84.271774,33.708219,-84.273137,0.126
340475,SOUTH DEKALB MALL (PICADILLY),SOUTH DEKALB MALL (MACY'S),33.708133,-84.273011,33.709874,-84.272898,0.12
340476,SOUTH DEKALB MALL (PICADILLY),SOUTH DEKALB MALL (MACY'S),33.708133,-84.273011,33.709571,-84.27319,0.1
340477,SOUTH DEKALB MALL (PICADILLY),SOUTH DEKALB MALL (MACY'S),33.708219,-84.273137,33.709874,-84.272898,0.115
340478,SOUTH DEKALB MALL (PICADILLY),SOUTH DEKALB MALL (MACY'S),33.708219,-84.273137,33.709571,-84.27319,0.093
340479,SOUTH DEKALB MALL (MACY'S),CANDLER RD @ RAINBOW WAY,33.709874,-84.272898,33.711256,-84.271464,0.126
340480,SOUTH DEKALB MALL (MACY'S),CANDLER RD @ RAINBOW WAY,33.709571,-84.27319,33.711256,-84.271464,0.153
340481,CANDLER RD @ RAINBOW WAY,CANDLER RD @ EASTWYCK RD,33.711256,-84.271464,33.715623,-84.273708,0.328
340482,CANDLER RD @ RAINBOW WAY,CANDLER RD @ EASTWYCK RD,33.711256,-84.271464,33.71526,-84.273193,0.294
340505,CANDLER RD @ OAKLAND TER,CANDLER RD @ TILSON RD,33.727925,-84.280155,33.729867,-84.281719,0.161
340506,CANDLER RD @ OAKLAND TER,CANDLER RD @ TILSON RD,33.727925,-84.280155,33.729975,-84.28161,0.164
340507,CANDLER RD @ TILSON RD,CANDLER RD @ MCAFEE RD,33.729867,-84.281719,33.731891,-84.283359,0.169
340508,CANDLER RD @ TILSON RD,CANDLER RD @ MCAFEE RD,33.729867,-84.281719,33.732321,-84.283587,0.201
340509,CANDLER RD @ TILSON RD,CANDLER RD @ MCAFEE RD,33.729975,-84.28161,33.731891,-84.283359,0.166
